2024-04-02 18:43:40 status half-installed libsvtav1enc1d1:amd64 1.7.0+dfsg-2+b1
2024-04-02 18:43:40 status unpacked libsvtav1enc1d1:amd64 1.7.0+dfsg-2+b1
2024-04-02 18:43:40 install libjpeg62-turbo:amd64 <none> 1:2.1.5-2+b2
2024-04-02 18:43:40 status half-installed libjpeg62-turbo:amd64 1:2.1.5-2+b2
2024-04-02 18:43:40 status unpacked libjpeg62-turbo:amd64 1:2.1.5-2+b2
2024-04-02 18:43:40 install libyuv0:amd64 <none> 0.0~git202401110.af6ac82-1
2024-04-02 18:43:40 status half-installed libyuv0:amd64 0.0~git202401110.af6ac82-1
2024-04-02 18:43:40 status unpacked libyuv0:amd64 0.0~git202401110.af6ac82-1
2024-04-02 18:43:40 install libavif16:amd64 <none> 1.0.4-1
2024-04-02 18:43:40 status half-installed libavif16:amd64 1.0.4-1
2024-04-02 18:43:40 status unpacked libavif16:amd64 1.0.4-1
2024-04-02 18:43:40 install libpng16-16:amd64 <none> 1.6.43-1
2024-04-02 18:43:40 status half-installed libpng16-16:amd64 1.6.43-1
2024-04-02 18:43:40 status unpacked libpng16-16:amd64 1.6.43-1
2024-04-02 18:43:40 install libfreetype6:amd64 <none> 2.13.2+dfsg-1+b1
2024-04-02 18:43:40 status half-installed libfreetype6:amd64 2.13.2+dfsg-1+b1
2024-04-02 18:43:40 status unpacked libfreetype6:amd64 2.13.2+dfsg-1+b1
2024-04-02 18:43:40 install libfontconfig1:amd64 <none> 2.15.0-1.1
2024-04-02 18:43:40 status half-installed libfontconfig1:amd64 2.15.0-1.1
2024-04-02 18:43:40 status unpacked libfontconfig1:amd64 2.15.0-1.1
2024-04-02 18:43:40 install libheif-plugin-dav1d:amd64 <none> 1.17.6-1
2024-04-02 18:43:40 status half-installed libheif-plugin-dav1d:amd64 1.17.6-1
2024-04-02 18:43:40 status unpacked libheif-plugin-dav1d:amd64 1.17.6-1
2024-04-02 18:43:40 install libde265-0:amd64 <none> 1.0.15-1
2024-04-02 18:43:40 status half-installed libde265-0:amd64 1.0.15-1
2024-04-02 18:43:40 status unpacked libde265-0:amd64 1.0.15-1
2024-04-02 18:43:40 install libheif-plugin-libde265:amd64 <none> 1.17.6-1
2024-04-02 18:43:40 status half-installed libheif-plugin-libde265:amd64 1.17.6-1
2024-04-02 18:43:40 status unpacked libheif-plugin-libde265:amd64 1.17.6-1
2024-04-02 18:43:40 install libheif1:amd64 <none> 1.17.6-1
2024-04-02 18:43:40 status half-installed libheif1:amd64 1.17.6-1
2024-04-02 18:43:40 status unpacked libheif1:amd64 1.17.6-1
